origin_address,destination_address,origin_id,destination_id,duration,distance
"9 Waverley Ave, Glenfield, Auckland 0629, New Zealand","9 Waverley Ave, Glenfield, Auckland 0629, New Zealand",orig_row_0,dest_row_0,0,0
"9 Waverley Ave, Glenfield, Auckland 0629, New Zealand","919 Mount Eden Rd, Mount Eden, Auckland 1024, New Zealand",orig_row_0,dest_row_1,1535,20350
"9 Waverley Ave, Glenfield, Auckland 0629, New Zealand","26 Ben Nevis Pl, Northpark, Auckland 2013, New Zealand",orig_row_0,dest_row_2,2299,33157
