origin_address,destination_address,origin_id,destination_id,duration,distance
"12 Waverley Ave, Glenfield, Auckland 0629, New Zealand","12 Waverley Ave, Glenfield, Auckland 0629, New Zealand",orig_row_0,dest_row_0,0,0
"12 Waverley Ave, Glenfield, Auckland 0629, New Zealand","917 Mount Eden Rd, Mount Eden, Auckland 1024, New Zealand",orig_row_0,dest_row_1,4733,20066
"12 Waverley Ave, Glenfield, Auckland 0629, New Zealand","23 Ben Nevis Pl, Northpark, Auckland 2013, New Zealand",orig_row_0,dest_row_2,7397,40444
