origin_address,destination_address,origin_id,destination_id,duration,distance
"919 Mount Eden Rd, Mount Eden, Auckland 1024, New Zealand","9 Waverley Ave, Glenfield, Auckland 0629, New Zealand",orig_row_1,dest_row_0,1721,17675
"919 Mount Eden Rd, Mount Eden, Auckland 1024, New Zealand","919 Mount Eden Rd, Mount Eden, Auckland 1024, New Zealand",orig_row_1,dest_row_1,0,0
"919 Mount Eden Rd, Mount Eden, Auckland 1024, New Zealand","26 Ben Nevis Pl, Northpark, Auckland 2013, New Zealand",orig_row_1,dest_row_2,1719,18597
